mikko,"{199: ([71], 0.0028328611898017)}"
meristem,"{3410: ([12], 0.043478260869565216), 3422: ([12], 0.02857142857142857), 3433: ([12], 0.03571428571428571), 3435: ([12], 0.02857142857142857), 3438: ([46], 0.0125), 9405: ([252, 262], 0.0019305019305019305), 25856: ([226], 0.003236245954692557), 27448: ([89], 0.0058823529411764705)}"
meristems,"{3414: ([16], 0.02702702702702703)}"
midcareer,"{3216: ([15, 38, 51], 0.046875), 3260: ([16], 0.00684931506849315), 3286: ([16], 0.00684931506849315), 3316: ([16], 0.00684931506849315), 3388: ([16], 0.00684931506849315), 14213: ([21], 0.011904761904761904), 14327: ([11, 11], 0.0004302925989672978), 24870: ([21], 0.010309278350515464), 27021: ([7], 0.012195121951219513), 28712: ([9], 0.011627906976744186), 32906: ([27], 0.008064516129032258), 38071: ([11, 11], 0.0007089684509039348), 38230: ([21, 21], 0.0006353240152477764), 38605: ([11], 0.008547008547008548), 38632: ([21], 0.009615384615384616)}"
mike,"{3207: ([93, 554], 0.001893939393939394), 3237: ([2], 0.00641025641025641), 3273: ([20], 0.006896551724137931), 3285: ([20], 0.0064516129032258064), 3305: ([2], 0.006024096385542169), 15221: ([4, 29, 34], 0.08571428571428572), 15879: ([35], 0.0027624309392265192), 16022: ([8], 0.045454545454545456), 16681: ([0, 41, 48], 0.05454545454545454), 19108: ([0, 39, 44], 0.061224489795918366), 19579: ([14, 18, 22, 26], 0.13333333333333333), 20025: ([3, 40, 45], 0.06382978723404255), 20153: ([19], 0.03571428571428571), 21726: ([0, 29, 30], 0.0967741935483871), 23529: ([23], 0.023809523809523808), 24508: ([663], 0.001392757660167131), 25222: ([8], 0.06666666666666667), 26228: ([10], 0.034482758620689655), 28032: ([20], 0.023255813953488372), 28638: ([32], 0.015873015873015872), 29475: ([146], 0.005847953216374269), 30182: ([1, 65], 0.023529411764705882), 32810: ([0, 33, 38], 0.06976744186046512), 32814: ([37], 0.023809523809523808), 32874: ([16, 20, 27, 52], 0.04819277108433735), 33474: ([0, 31, 34], 0.08108108108108109), 37219: ([45], 0.010638297872340425), 37548: ([2, 55, 59], 0.04918032786885246)}"
milch,"{3205: ([804], 0.0009199632014719411), 3231: ([50], 0.006622516556291391), 3332: ([50], 0.006211180124223602)}"
miles,"{3207: ([703], 0.000946969696969697), 3368: ([47], 0.007042253521126761), 3399: ([47], 0.006578947368421052), 9615: ([594], 0.0005938242280285036), 15269: ([2333], 0.00013910140492418973), 15592: ([0, 29, 32], 0.08571428571428572), 16603: ([1722], 0.00015306903413439462), 18665: ([1732], 0.0001719986240110079), 20041: ([1264], 0.00022815423226100844), 21863: ([0, 39, 43], 0.06382978723404255), 22213: ([2294], 0.00014058765640376775), 24150: ([0, 24, 29], 0.08823529411764706), 24644: ([2315], 0.00013945056477478735), 25580: ([2333], 0.00013910140492418973), 26648: ([1, 41, 49], 0.05357142857142857), 27721: ([0, 35, 41], 0.06382978723404255), 27934: ([237], 0.0036231884057971015), 28360: ([0, 24, 29], 0.08823529411764706), 29267: ([682], 0.0001751006828926633), 29738: ([0, 24, 29], 0.08823529411764706), 29945: ([0, 33, 38], 0.06976744186046512), 30946: ([0, 26, 32], 0.07894736842105263), 31450: ([58, 77, 371], 0.0055147058823529415), 31992: ([38, 57, 120, 341, 414], 0.009345794392523364), 32006: ([2125], 0.00018656716417910448), 32051: ([2, 25, 28], 0.10344827586206896), 32476: ([0, 24, 29], 0.08823529411764706), 33219: ([0, 32, 35], 0.07894736842105263), 35050: ([2, 37, 44], 0.061224489795918366), 35533: ([38], 0.022222222222222223), 35602: ([3, 45, 51], 0.05555555555555555)}"
million,"{3220: ([78], 0.007692307692307693), 3221: ([52], 0.006622516556291391), 3235: ([26, 56, 76], 0.03529411764705882), 3238: ([93], 0.007407407407407408), 3243: ([77], 0.007194244604316547), 3248: ([78], 0.007692307692307693), 3250: ([28], 0.006993006993006993), 3255: ([93], 0.007407407407407408), 3263: ([93], 0.007407407407407408), 3270: ([52], 0.006622516556291391), 3274: ([84], 0.007407407407407408), 3278: ([52], 0.006622516556291391), 3280: ([56], 0.007142857142857143), 3282: ([77], 0.007194244604316547), 3287: ([54], 0.007194244604316547), 3291: ([77], 0.007194244604316547), 3304: ([78], 0.007692307692307693), 3306: ([28], 0.006993006993006993), 3311: ([28], 0.006993006993006993), 3312: ([77], 0.007194244604316547), 3329: ([56], 0.007142857142857143), 3330: ([54], 0.007194244604316547), 3331: ([54], 0.007194244604316547), 3334: ([54], 0.007194244604316547), 3347: ([70], 0.0072992700729927005), 3354: ([56], 0.007142857142857143), 3359: ([56], 0.007142857142857143), 3361: ([28], 0.006993006993006993), 3362: ([20, 48, 66], 0.0379746835443038), 3367: ([19, 45, 61], 0.0410958904109589), 3382: ([61], 0.0072992700729927005), 3394: ([22, 49, 66], 0.039473684210526314), 3395: ([78], 0.007692307692307693), 3396: ([52], 0.006622516556291391), 3403: ([70], 0.0072992700729927005), 3404: ([61], 0.0072992700729927005), 10714: ([14], 0.024390243902439025), 10767: ([1, 18, 27], 0.08571428571428572), 10897: ([5, 23, 37, 48], 0.07407407407407407), 11162: ([11], 0.02631578947368421), 11291: ([20], 0.022727272727272728), 11666: ([27], 0.022727272727272728), 12105: ([19], 0.022727272727272728), 12173: ([24], 0.024390243902439025), 14119: ([164], 0.0026595744680851063), 14121: ([6, 18, 28], 0.08108108108108109), 14216: ([8, 23, 36], 0.06976744186046512), 14219: ([162], 0.0017761989342806395), 14223: ([9, 28, 45], 0.05454545454545454), 14257: ([14], 0.0196078431372549), 14287: ([12, 36, 58], 0.04411764705882353), 14301: ([119], 0.007633587786259542), 14343: ([246, 261], 0.007194244604316547), 14344: ([123], 0.006622516556291391), 14372: ([109], 0.005813953488372093), 14488: ([248, 263], 0.0070921985815602835), 15231: ([560], 0.00026888948642108095), 15269: ([1717], 0.00013910140492418973), 15547: ([121, 121], 0.00045034902049088043), 15929: ([12, 47], 0.03773584905660377), 16058: ([175], 0.001736111111111111), 16084: ([607], 0.00024396194193705782), 16603: ([947], 0.00015306903413439462), 16634: ([4, 63], 0.023809523809523808), 16988: ([12, 47], 0.03773584905660377), 17785: ([10], 0.011627906976744186), 18659: ([5, 209], 0.0038095238095238095), 18665: ([1050], 0.0001719986240110079), 18750: ([362, 1413, 1795], 0.0014506769825918763), 19392: ([9, 32, 63, 77], 0.044444444444444446), 20041: ([634], 0.00022815423226100844), 20356: ([28, 30], 0.01652892561983471), 20701: ([560], 0.00026954177897574127), 20801: ([1, 3], 0.01818181818181818), 21205: ([121], 0.005434782608695652), 21623: ([9, 41], 0.041666666666666664), 21644: ([564], 0.00026295030239284776), 22213: ([1678], 0.00014058765640376775), 23139: ([103], 0.00847457627118644), 23359: ([121], 0.005434782608695652), 23491: ([125, 131, 137], 0.006160164271047228), 23647: ([494], 0.000368052999631947), 24644: ([1699], 0.00013945056477478735), 25580: ([1717], 0.00013910140492418973), 26018: ([26, 59], 0.029411764705882353), 26686: ([560], 0.00030330603579011223), 27125: ([557], 0.00025673940949935817), 27151: ([17, 52], 0.03076923076923077), 27404: ([378], 0.0019305019305019305), 28256: ([30, 66], 0.020202020202020204), 28267: ([14], 0.022727272727272728), 28325: ([253, 268], 0.007017543859649123), 29061: ([211], 0.002347417840375587), 29267: ([1567], 0.0001751006828926633), 29438: ([560], 0.00032690421706440013), 29728: ([9, 41], 0.04), 30830: ([72, 100, 317], 0.0049504950495049506), 31049: ([140], 0.004672897196261682), 31274: ([6, 39], 0.0425531914893617), 32006: ([1145], 0.00018656716417910448), 32117: ([10], 0.029411764705882353), 32151: ([560], 0.00026888948642108095), 32787: ([473], 0.00036886757654002215), 33131: ([279, 310, 361], 0.0021945866861741038), 33154: ([560], 0.00031938677738741617), 33539: ([9, 41], 0.041666666666666664), 33557: ([431], 0.001379310344827586), 33607: ([6], 0.018518518518518517), 33700: ([6, 43], 0.03508771929824561), 34285: ([8, 37], 0.04878048780487805), 34505: ([2, 68], 0.021739130434782608), 34654: ([12, 49], 0.03389830508474576), 34716: ([585], 0.00029507229271171436), 35759: ([476, 481, 530], 0.0027272727272727275), 36293: ([362, 1413, 1795], 0.0014506769825918763), 36344: ([6, 43], 0.03508771929824561), 36942: ([41], 0.02040816326530612), 37174: ([617], 0.00028843380444188056), 37847: ([91, 91], 0.0006353240152477764), 37966: ([9, 30, 51, 9, 30, 51], 0.0019059720457433292), 38194: ([178, 178], 0.0006353240152477764), 38257: ([27, 27], 0.0006353240152477764), 38263: ([321], 0.002785515320334262), 38267: ([222], 0.0038461538461538464), 38280: ([5, 22, 39, 5, 22, 39], 0.0019059720457433292), 38316: ([20, 20], 0.0006353240152477764), 38412: ([88], 0.0028653295128939827), 38413: ([6, 31, 56], 0.04), 38528: ([25], 0.004310344827586207), 38565: ([46], 0.005376344086021506), 38610: ([24, 49, 62], 0.03896103896103896), 38627: ([33, 56, 67], 0.039473684210526314), 38638: ([24, 44, 52], 0.05), 38639: ([25], 0.005319148936170213), 38667: ([61, 111], 0.013071895424836602)}"
mindbody,"{3518: ([44], 0.013513513513513514)}"
mine,"{3221: ([78], 0.006622516556291391), 3250: ([54], 0.006993006993006993), 3270: ([78], 0.006622516556291391), 3278: ([78], 0.006622516556291391), 3306: ([54], 0.006993006993006993), 3311: ([54], 0.006993006993006993), 3361: ([54], 0.006993006993006993), 3366: ([19, 46, 63], 0.039473684210526314), 3396: ([78], 0.006622516556291391), 10256: ([9, 11], 0.15384615384615385), 20998: ([322], 0.0029498525073746312), 21893: ([1, 37, 39], 0.075), 24993: ([322], 0.0029498525073746312), 28826: ([0, 11], 0.043478260869565216), 32353: ([4, 37, 42], 0.06976744186046512), 34224: ([287], 0.003289473684210526), 36649: ([5, 41, 47], 0.0625), 37417: ([4, 39, 44], 0.06666666666666667), 38607: ([21], 0.0035842293906810036)}"
minin,"{3203: ([43], 0.007633587786259542), 3207: ([516], 0.000946969696969697), 3402: ([43], 0.0070921985815602835), 14176: ([8], 0.0070921985815602835), 14307: ([93, 108, 111, 114, 120, 123, 126], 0.05426356589147287), 14344: ([138], 0.006622516556291391), 18625: ([4, 5, 37], 0.05357142857142857), 18750: ([335], 0.00048355899419729207), 19211: ([74, 109, 117], 0.02158273381294964), 20126: ([11], 0.006369426751592357), 23463: ([1, 15], 0.04081632653061224), 23678: ([74, 109, 117], 0.02158273381294964), 30233: ([7, 131, 146, 149, 152, 158, 161, 164], 0.04790419161676647), 32047: ([7, 42], 0.0392156862745098), 35799: ([7, 42], 0.0392156862745098), 36293: ([335], 0.00048355899419729207), 37896: ([133, 133], 0.0007089684509039348), 38077: ([109, 124, 127, 130, 136, 139, 142, 109, 124, 127, 130, 136, 139, 142], 0.0044472681067344345), 38106: ([8], 0.006369426751592357), 38508: ([172], 0.005405405405405406), 38607: ([69], 0.0035842293906810036), 38618: ([14, 39, 52], 0.04918032786885246), 38631: ([99], 0.003816793893129771), 38639: ([1, 35, 84, 151, 165], 0.026595744680851064), 38651: ([14], 0.014492753623188406), 38652: ([81, 106, 119, 127], 0.026845637583892617), 38653: ([113, 128, 131, 134, 140, 143, 146], 0.04697986577181208), 38680: ([8], 0.006097560975609756), 38684: ([1, 12, 34, 44], 0.06557377049180328), 38688: ([29], 0.0078125)}"
minisymposium,"{3426: ([8], 0.025), 3437: ([63], 0.010869565217391304)}"
miranda,"{3207: ([273], 0.000946969696969697), 3300: ([7], 0.006134969325153374), 3323: ([7], 0.005780346820809248)}"
misha,"{3205: ([559], 0.0009199632014719411), 3317: ([20], 0.006211180124223602), 3335: ([20], 0.006622516556291391), 18013: ([2, 39, 45], 0.061224489795918366), 18970: ([0, 32, 35], 0.07894736842105263), 20564: ([0, 35, 41], 0.06382978723404255), 20726: ([2, 25, 28], 0.10344827586206896), 22198: ([0, 35, 41], 0.06382978723404255), 32830: ([3, 38, 42], 0.06976744186046512), 34032: ([0, 21, 22], 0.13043478260869565), 36796: ([0, 34, 38], 0.07142857142857142)}"
mjolsness,"{3260: ([68], 0.00684931506849315), 3286: ([68], 0.00684931506849315), 3316: ([68], 0.00684931506849315), 3355: ([15, 42, 59], 0.039473684210526314), 3388: ([68], 0.00684931506849315), 3438: ([49], 0.0125), 3636: ([20, 24], 0.0625), 3637: ([24, 28], 0.06896551724137931), 3638: ([79, 84], 0.023529411764705882), 3639: ([31, 38], 0.05128205128205128), 3640: ([14, 18], 0.10526315789473684), 3641: ([15, 18], 0.10526315789473684), 3642: ([25, 28], 0.06896551724137931), 3643: ([14, 19], 0.1), 3644: ([19, 25], 0.07692307692307693), 3645: ([29, 32], 0.06060606060606061), 3646: ([14, 19], 0.1), 3647: ([10, 13], 0.14285714285714285), 3648: ([33, 38], 0.05128205128205128), 3649: ([10, 13], 0.14285714285714285), 3650: ([1, 13, 23], 0.07142857142857142), 3651: ([18, 21], 0.09090909090909091), 3652: ([14, 19], 0.06666666666666667), 3653: ([18, 25], 0.07692307692307693), 3654: ([28, 33], 0.022727272727272728), 3655: ([15, 18], 0.10526315789473684), 3656: ([20, 24], 0.08), 3657: ([7, 14], 0.11764705882352941), 3658: ([16, 22], 0.08695652173913043), 3659: ([13, 16], 0.11764705882352941), 3660: ([10, 13], 0.14285714285714285), 3661: ([28, 33], 0.058823529411764705), 3662: ([17, 21], 0.09090909090909091), 3663: ([18, 25], 0.07692307692307693), 3664: ([12, 16], 0.11764705882352941), 3665: ([22, 26], 0.05128205128205128), 3666: ([10, 13], 0.14285714285714285), 3667: ([7, 14], 0.11764705882352941), 3668: ([10, 13], 0.14285714285714285), 3669: ([7, 14], 0.11764705882352941), 10198: ([7], 0.0196078431372549), 12342: ([129], 0.00625), 12344: ([129], 0.00625), 14341: ([484], 0.0013869625520110957), 15269: ([403, 404, 424, 436], 0.0005564056196967589), 22213: ([385, 386, 406, 418], 0.000562350625615071), 24644: ([385, 386, 406, 418], 0.0005578022590991494), 25580: ([403, 404, 424, 436], 0.0005564056196967589), 27448: ([64, 108, 123, 125, 127], 0.029411764705882353), 32466: ([37], 0.015384615384615385), 32986: ([89], 0.00425531914893617), 35749: ([1, 9], 0.046511627906976744)}"
mlk,"{3205: ([17], 0.0009199632014719411), 3207: ([381, 660], 0.001893939393939394), 3222: ([4], 0.006329113924050633), 3284: ([17], 0.006211180124223602), 3368: ([4], 0.007042253521126761), 3373: ([17], 0.005847953216374269), 3397: ([4], 0.006756756756756757), 3399: ([4], 0.006578947368421052)}"
mlss,"{3234: ([20, 43, 56], 0.046875), 3243: ([49], 0.007194244604316547), 3260: ([61], 0.00684931506849315), 3282: ([49], 0.007194244604316547), 3286: ([61], 0.00684931506849315), 3291: ([49], 0.007194244604316547), 3312: ([49], 0.007194244604316547), 3316: ([61], 0.00684931506849315), 3322: ([23, 49, 65], 0.0410958904109589), 3388: ([61], 0.00684931506849315)}"
mobility,"{3205: ([371], 0.0009199632014719411), 3213: ([47], 0.006896551724137931), 3340: ([47], 0.0064516129032258064), 12349: ([44], 0.017543859649122806), 12591: ([566, 765, 2035, 2430, 2442], 0.0018037518037518038), 13066: ([270], 0.0017094017094017094), 15851: ([301], 0.001834862385321101), 20118: ([39], 0.019230769230769232), 20741: ([336], 0.001288659793814433), 22876: ([20], 0.014925373134328358), 24427: ([8], 0.041666666666666664), 26273: ([132], 0.00267379679144385), 26899: ([218, 233], 0.0061162079510703364), 29917: ([51], 0.01818181818181818), 30110: ([0, 19, 23, 26], 0.13793103448275862), 31943: ([2], 0.019230769230769232), 31984: ([566, 765, 2035, 2430, 2442], 0.0018037518037518038), 33100: ([336], 0.001288659793814433), 36189: ([336], 0.001288659793814433), 38113: ([43], 0.0125)}"
mohammad,"{3198: ([112], 0.005747126436781609), 3205: ([529, 785], 0.0018399264029438822), 3207: ([664], 0.000946969696969697), 3231: ([31], 0.006622516556291391), 3293: ([112], 0.005434782608695652), 3332: ([31], 0.006211180124223602), 3368: ([8], 0.007042253521126761), 3399: ([8], 0.006578947368421052), 17307: ([28, 28], 0.0004440497335701599), 21576: ([23], 0.02), 28211: ([19], 0.022727272727272728), 35900: ([0, 36, 38], 0.075)}"
mohsen,"{3225: ([79], 0.003472222222222222), 3259: ([2], 0.0048543689320388345), 3266: ([2], 0.004629629629629629), 13231: ([5], 0.058823529411764705), 16084: ([2964], 0.00024396194193705782)}"
moist,"{3207: ([107], 0.000946969696969697), 3273: ([34], 0.006896551724137931), 3285: ([34], 0.0064516129032258064)}"
mortality,"{3198: ([47], 0.005747126436781609), 3205: ([464], 0.0009199632014719411), 3293: ([47], 0.005434782608695652)}"
mudd,"{3518: ([60], 0.013513513513513514), 21102: ([15], 0.029411764705882353)}"
multiagent,"{3205: ([311, 920], 0.0018399264029438822), 3207: ([387], 0.000946969696969697), 3222: ([10], 0.006329113924050633), 3236: ([67], 0.0049261083743842365), 3290: ([67], 0.004694835680751174), 3302: ([86], 0.006622516556291391), 3325: ([86], 0.006211180124223602), 3397: ([10], 0.006756756756756757), 20597: ([1], 0.041666666666666664), 24825: ([119], 0.0035714285714285713), 30488: ([111], 0.006535947712418301), 30841: ([1], 0.041666666666666664), 36377: ([135], 0.001697792869269949)}"
multiarmed,"{3205: ([794], 0.0009199632014719411), 3231: ([40], 0.006622516556291391), 3332: ([40], 0.006211180124223602)}"
multiaspect,"{3207: ([449], 0.000946969696969697), 3222: ([72], 0.006329113924050633), 3397: ([72], 0.006756756756756757)}"
multidimensional,"{3225: ([101], 0.003472222222222222), 3259: ([24], 0.0048543689320388345), 3266: ([24], 0.004629629629629629), 9403: ([118], 0.0044444444444444444), 9405: ([44], 0.0009652509652509653), 12335: ([22], 0.016129032258064516), 12615: ([41], 0.0049504950495049506), 14091: ([25, 31, 42], 0.010676156583629894), 14094: ([16, 22, 57, 332, 338], 0.014534883720930232), 14107: ([16, 22, 57, 332, 338], 0.014534883720930232), 17828: ([16, 21], 0.00796812749003984), 18073: ([110], 0.0020964360587002098), 19384: ([153], 0.0006882312456985547), 19385: ([72, 81, 85, 86], 0.0380952380952381), 21114: ([295], 0.0017094017094017094), 21130: ([42, 50], 0.012903225806451613), 21418: ([61], 0.004424778761061947), 21447: ([239], 0.000574052812858783), 23060: ([887, 1058], 0.0017452006980802793), 23587: ([3], 0.058823529411764705), 26549: ([44, 52], 0.0019723865877712033), 26602: ([617], 0.0010741138560687433), 28863: ([91, 148], 0.004329004329004329), 29643: ([628, 636], 0.0006246096189881324), 29795: ([16], 0.030303030303030304), 30482: ([196], 0.0025), 32057: ([12], 0.0038314176245210726), 32511: ([4], 0.024390243902439025), 33481: ([7], 0.02857142857142857), 34305: ([1058, 1066], 0.000384172109104879), 35740: ([6], 0.030303030303030304), 35748: ([9], 0.02857142857142857), 37015: ([9, 29, 39], 0.06666666666666667), 37183: ([74, 82], 0.00819672131147541)}"
multigranularity,"{3205: ([938], 0.0009199632014719411), 3236: ([85], 0.0049261083743842365), 3290: ([85], 0.004694835680751174)}"
multiscale,"{3415: ([16], 0.011764705882352941), 3650: ([36], 0.023809523809523808), 3652: ([24], 0.03333333333333333), 9405: ([283], 0.0009652509652509653), 12901: ([148], 0.005208333333333333), 14138: ([153], 0.002512562814070352), 14189: ([153], 0.0025906735751295338), 20297: ([16], 0.011764705882352941), 23599: ([16], 0.011764705882352941), 23994: ([394], 0.0011547344110854503), 25856: ([190], 0.003236245954692557), 33638: ([26], 0.0012804097311139564)}"
multiversion,"{3205: ([146], 0.0009199632014719411), 3275: ([37], 0.005952380952380952), 3313: ([37], 0.0056179775280898875), 37169: ([166], 0.0025575447570332483)}"
mumfordshah,"{3207: ([222], 0.000946969696969697), 3294: ([56], 0.006024096385542169), 3383: ([56], 0.005681818181818182)}"
muri,"{3199: ([38], 0.012987012987012988), 3232: ([38], 0.012987012987012988), 3250: ([104], 0.006993006993006993), 3301: ([38], 0.012987012987012988), 3306: ([104], 0.006993006993006993), 3311: ([104], 0.006993006993006993), 3350: ([26, 56, 76], 0.03529411764705882), 3361: ([104], 0.006993006993006993), 3375: ([38], 0.012987012987012988), 18483: ([22, 97], 0.01639344262295082)}"
